,latitude,longitude,time,magnitude,catalog_id
0,46.306,7.776,1975-02-07 08:57:49.500000000,2.2,real
1,47.23,7.592,1975-02-10 01:54:48.000000000,2.2,real
2,47.085,9.548,1975-02-22 09:50:00.700000000,2.5,real
3,46.527,10.065,1975-03-03 21:01:47.000000000,2.6,real
4,46.473,8.666,1975-03-08 01:51:45.000000000,2.3000000000000003,real
5,46.614,10.449,1975-03-08 07:22:14.400000000,2.4000000000000004,real
6,46.974,9.382,1975-03-20 05:55:55.400000000,2.5,real
7,46.107,8.465,1975-03-23 07:43:16.300000000,2.5,real
8,47.035,6.95,1975-03-29 02:48:16.300000000,2.2,real
9,47.349,9.644,1975-04-09 14:58:29.800000000,2.4000000000000004,real
10,46.587,9.807,1975-04-19 03:04:19.800000000,2.3000000000000003,real
11,46.139,7.52,1975-04-20 07:47:01.500000000,2.3000000000000003,real
12,45.866,9.072,1975-04-20 21:06:11.700000000,2.6,real
13,46.637,10.329,1975-04-27 23:40:29.100000000,2.8000000000000003,real
14,46.991,9.795,1975-04-29 08:02:44.300000000,2.2,real
15,46.124,7.347,1975-05-09 15:14:59.800000000,2.2,real
16,45.752,8.952,1975-05-21 04:10:45.900000000,3.3000000000000003,real
17,47.478,9.287,1975-05-22 08:23:49.100000000,2.3000000000000003,real
18,46.02,6.03,1975-05-29 00:32:39.100000000,3.6,real
19,46.092,6.208,1975-05-29 00:45:11.800000000,2.9000000000000004,real
20,47.263,9.717,1975-06-26 02:40:22.000000000,2.3000000000000003,real
21,47.1,6.44,1975-06-28 23:57:04.700000000,2.8000000000000003,real
22,46.955,9.378,1975-07-15 08:15:17.100000000,2.3000000000000003,real
23,46.045,7.093,1975-07-25 05:43:12.600000000,2.2,real
24,46.073,7.118,1975-07-25 09:41:48.000000000,2.2,real
25,47.101,7.045,1975-08-12 05:16:05.900000000,2.2,real
26,46.818,7.203,1975-08-17 06:07:19.800000000,2.2,real
27,46.712,9.738,1975-09-07 20:39:05.900000000,3.2,real
28,46.317,7.383,1975-09-21 23:15:16.000000000,3.1,real
29,46.365,7.421,1975-09-29 23:37:07.900000000,2.3000000000000003,real
30,46.374,7.579,1975-09-29 23:40:17.300000000,2.2,real
31,47.099,7.862,1975-10-07 06:41:47.200000000,2.5,real
